Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 1


ROM Table

ROM Name      Checksum  Size     Space Remaining
------------  --------  -------  ---------------
U2.ROM        $9300     1024 kB  2 kB (0%)
U3.ROM        $7400     1024 kB  MASKED
U4.ROM        $B600     1024 kB  MASKED
U5.ROM        $6A00     1024 kB  MASKED


Sound Call Table

  Dec  Hex   Trk  Video  Pinball  Description
  690  $02b2  1     33.5    38.4  Kung Lao Saw Blocked
  695  $02b7  1     25.5    29.3  Robot chest click
  700  $02bc  1     63.6    73.0  Jax blur punch
  705  $02c1  1     35.2    40.3  Jax knee break
  710  $02c6  1     44.4    50.9  Sal projectile reflector
  715  $02cb  1     40.6    46.6  Sal Shadow Shoulder
  720  $02d0  1     45.2    51.8  Sonya bicycle kick whoosh
  725  $02d5  1     69.1    79.2  Muchacha fireball
  730  $02da  1     32.6    37.4  Muchacha fireball hit
  735  $02df  1     25.1    28.8  Muchacha fireball blocked
  740  $02e4  1     32.2    37.0  Kung Lao flying kick
  745  $02e9  1     20.9    24.0  Robo metal ball clank #1
  750  $02ee  1     20.5    23.5  Robo metal ball clank #2
  755  $02f3  1     89.6   102.7  Robo metal ball explode
  760  $02f8  1     46.9    53.8  Robot explodes
  765  $02fd  1     27.2    31.2  Robot implodes
  770  $0302  1     61.5    70.6  Robot teleport whoosh
  775  $0307  1     50.6    58.1  Muchacha fly #1 (rise)

  785  $0311  1     36.4    41.8  Robo net blocked
  790  $0316  1     19.3    22.1  Jax Charge Ground Punch
  795  $031b  1     72.4    83.0  Jax Hit Ground
  800  $0320  1     75.8    86.9  Burning Tomahawk (1x)
  805  $0325  1     33.5    38.4  Kano Metal HeadButt
  810  $032a  1     62.4    71.5  Sub-Zero: frozen by his image
  815  $032f  1     46.0    52.8  Liu Kang fireball hit
  820  $0334  1     82.9    95.0  Cabal projectile
  825  $0339  1     53.6    61.4  Liu Kang Fireball
e 830  $033e  1     67.4    77.3  Shang Tsung Ground Fireball
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 5


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  835  $0343  1     46.0    52.8  Sub-Zero Slide Trip
e 840  $0348  1     47.3    54.2  Kano - Sal flaming ax hit
  845  $034d  1     29.3    33.6  Liu Kang Fireball blocked
e 850  $0352  1     56.1    64.3  Shang Tsung green orb sound
e 855  $0357  1     43.1    49.4  Shang Tsung morph sound
e 860  $035c  1     44.4    50.9  Stryker grenade throw
e 865  $0361  1     43.1    49.4  Stryker lunge sound
e 870  $0366  1     23.0    26.4  Stryker hit with baton
e 875  $036b  1     28.0    32.2  Stryker throw with baton
e 880  $0370  1     59.0    67.7  Cabal Rushing Attack
e 885  $0375  1     40.6    46.6  Sheeva Teleport Sound
e 890  $037a  1     55.7    63.8  Sheeva Fireball
e 895  $037f  1     87.9   100.8  Cabal spinning victim (loop it) (1x)

  993  $03e1  0      0.0     0.0  SYSTEM          Kill sound on track 0
  994  $03e2  1      0.0     0.0  SYSTEM          Kill sound on track 1
  995  $03e3  2      0.0     0.0  SYSTEM          Kill sound on track 2
  996  $03e4  3      0.0     0.0  SYSTEM          Kill sound on track 3
  997  $03e5  4      0.0     0.0  SYSTEM          Kill sound on track 4
  998  $03e6  5      0.0     0.0  SYSTEM          Kill sound on track 5
  999  $03e7  0      2.1     2.4  SYSTEM      send version # as a signal
  1000 $03e8  1    217.7   249.6  howling wind loop
  1005 $03ed  1     54.4    62.4  MK3: subway approaching
  1010 $03f2  1    117.6   134.9  MK3: subway steady state
  1015 $03f7  1     62.8    72.0  MK3: subway going away

  1030 $0406  1     53.6    61.4  Old Danger sound
  1035 $040b  1     74.9    85.9  MK3: Big door slides shut
  1040 $0410  1     79.5    91.2  MK3: Big door closes
  1045 $0415  1     18.0    20.6  Splish #1
  1050 $041a  1     14.6    16.8  Splish #2
  1055 $041f  1     39.3    45.1  Splish #3
  1060 $0424  1     11.7    13.4  Time-Down Tick
  1065 $0429  1    136.9   157.0  MK3: Church Bell
  1070 $042e  1     87.5   100.3  Crowd "oooh"

e 1085 $043d  1     11.3    13.0  Cursor player #1
e 1090 $0442  1     11.3    13.0  Cursor player #2
  1095 $0447  1     50.6    58.1  Fighter Picked #1
  1100 $044c  1     48.1    55.2  Fighter Picked #2
  1105 $0451  1     61.9    71.0  Mortal Sans Whoosh

e 1115 $045b  1    117.2   134.4  Mercy Hit
e 1120 $0460  1     58.6    67.2  One Player Ladder Whoosh
e 1125 $0465  1     70.7    81.1  Game Start Sound
e 1130 $046a  1      2.5     2.9  Emblem Click
  1135 $046f  1      6.7     7.7  Player 2 Buys In
e 1140 $0474  1      6.3     7.2  Combo Message Hit
  1145 $0479  1      5.4     6.2  One Player Map Select
e 1150 $047e  1    126.8   145.4  Flawless/Fatality Drone

e 1500 $05dc  1     20.9    24.0  AM: Sheeva attack #1
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 6


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
e 1505 $05e1  1     22.2    25.4  AM: Sheeva attack #2
e 1510 $05e6  1     40.6    46.6  AM: Sheeva flying kick attack
e 1515 $05eb  1     22.6    25.9  AM: Sheeva grab
e 1520 $05f0  1     53.2    61.0  AM: Sheeva throw
e 1525 $05f5  1     73.2    84.0  AM: Sheeva running attack
e 1530 $05fa  1     20.1    23.0  AM: Sheeva jump
e 1535 $05ff  1     25.5    29.3  AM: Sheeva face hit #1
e 1540 $0604  1     33.5    38.4  AM: Sheeva face hit #2
e 1545 $0609  1     16.3    18.7  AM: Sheeva body hit #1
e 1550 $060e  1     17.2    19.7  AM: Sheeva body hit #2
e 1555 $0613  1     21.8    25.0  AM: Sheeva tripped
e 1560 $0618  1     42.3    48.5  AM: Sheeva medium wasted
e 1565 $061d  1     74.9    85.9  AM: Sheeva wasted #1
e 1570 $0622  1     72.8    83.5  AM: Sheeva wasted #2
e 1575 $0627  1    190.4   218.4  AM: Sheeva death

  2000 $07d0  1     28.9    33.1  PB: Attack #1
  2005 $07d5  1     22.6    25.9  PB: Attack #2
  2010 $07da  1     50.6    58.1  PB: Flying Kick Attack
  2015 $07df  1     20.1    23.0  PB: Grab
  2020 $07e4  1     60.7    69.6  PB: Throw
  2025 $07e9  1    107.2   122.9  PB: Running Attack
  2030 $07ee  1     21.8    25.0  PB: Jump
  2035 $07f3  1     34.3    39.4  PB: Face Hit #1
  2040 $07f8  1     33.1    37.9  PB: Face Hit #2
  2045 $07fd  1     31.0    35.5  PB: Body Hit #1
  2050 $0802  1     25.1    28.8  PB: Body Hit #2
  2055 $0807  1     21.8    25.0  PB: Tripped
  2060 $080c  1     44.8    51.4  PB: Medium Wasted
  2065 $0811  1     58.2    66.7  PB: Wasted #1
  2070 $0816  1     63.2    72.5  PB: Wasted #2
  2075 $081b  1    203.4   233.3  PB: Death

  2200 $0898  1     74.5    85.4  PB: bicycle kick
  2205 $089d  1     86.2    98.9  PB: That was fun
  2210 $08a2  1     49.4    56.6  PB: Medium Wasted #2
  2215 $08a7  1     25.1    28.8  PB: Special Owww #1
  2220 $08ac  1     38.5    44.2  PB: Special Owww #2
  2225 $08b1  1    130.2   149.3  PB: Upper Cut
  2230 $08b6  1    117.2   134.4  PB: oh maw

  3000 $0bb8  1     18.4    21.1  VP: attack #1
  3005 $0bbd  1     19.3    22.1  VP: attack #2
  3010 $0bc2  1     43.1    49.4  VP: flying attack
  3015 $0bc7  1     17.6    20.2  VP: grab
  3020 $0bcc  1     52.3    60.0  VP: throw
  3025 $0bd1  1     70.7    81.1  VP: running attack
  3030 $0bd6  1     19.7    22.6  VP: jump
  3035 $0bdb  1     28.9    33.1  VP: face hit #1
  3040 $0be0  1     31.8    36.5  VP: face hit #2
  3045 $0be5  1     28.5    32.6  VP: body hit #1
  3050 $0bea  1     22.2    25.4  VP: body hit #2
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 7


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  3055 $0bef  1     30.6    35.0  VP: tripped
  3060 $0bf4  1     38.9    44.6  VP: medium wasted
  3065 $0bf9  1     46.9    53.8  VP: wasted #1
  3070 $0bfe  1     59.0    67.7  VP: wasted #2
  3075 $0c03  1    269.6   309.1  VP: death

e 3200 $0c80  1    151.9   174.2  VP: shook
e 3205 $0c85  1     26.0    29.8  VP: special owww #1
  3210 $0c8a  1    140.2   160.8  VP: stretched

  4000 $0fa0  1     24.3    27.8  DF: attack #1
  4005 $0fa5  1     19.7    22.6  DF: attack #2
  4010 $0faa  1     36.0    41.3  DF: flying attack
  4015 $0faf  1     17.2    19.7  DF: grab
  4020 $0fb4  1     44.8    51.4  DF: throw
  4025 $0fb9  1     89.6   102.7  DF: running attack
  4030 $0fbe  1     12.6    14.4  DF: jump
  4035 $0fc3  1     26.4    30.2  DF: face hit #1
  4040 $0fc8  1     30.6    35.0  DF: face hit #2
  4045 $0fcd  1     21.8    25.0  DF: body hit #1
  4050 $0fd2  1     20.9    24.0  DF: body hit #2
  4055 $0fd7  1     29.3    33.6  DF: tripped
  4060 $0fdc  1     44.4    50.9  DF: medium wasted
  4065 $0fe1  1     57.3    65.8  DF: wasted #1
  4070 $0fe6  1     54.0    61.9  DF: wasted #2
  4075 $0feb  1    121.8   139.7  DF: death

  4200 $1068  1     39.3    45.1  DF: yeah
  4205 $106d  1     28.5    32.6  DF: special body hit #3
e 4210 $1072  1     23.4    26.9  DF: buh
e 4215 $1077  1     47.7    54.7  DF: crispy

e 4240 $1090  1     43.1    49.4  DF: Frosty
  4245 $1095  1     38.1    43.7  DF: Toasty

e 4255 $109f  1     40.6    46.6  DF: oh maw

e 4270 $10ae  1     56.1    64.3  DF: Kung Lao wicked throw

  5000 $1388  1     18.4    21.1  EB low: attack #1
  5005 $138d  1     18.8    21.6  EB low: attack #2
  5010 $1392  1     29.3    33.6  EB low: flying attack
  5015 $1397  1     19.7    22.6  EB low: grab
  5020 $139c  1     46.5    53.3  EB low: throw
  5025 $13a1  1     71.2    81.6  EB low: running attack
  5030 $13a6  1     14.2    16.3  EB low: jump
  5035 $13ab  1     17.6    20.2  EB low: face hit #1
  5040 $13b0  1     27.6    31.7  EB low: face hit #2
  5045 $13b5  1     24.7    28.3  EB low: body #1
  5050 $13ba  1     21.3    24.5  EB low: body #2
  5055 $13bf  1     18.8    21.6  EB low: tripped
  5060 $13c4  1     39.8    45.6  EB low: medium wasted
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 8


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  5065 $13c9  1     61.9    71.0  EB low: wasted #1
  5070 $13ce  1     57.8    66.2  EB low: wasted #2
  5075 $13d3  1    193.8   222.2  EB low: death

e 5200 $1450  1     22.6    25.9  EB: special oww #1
e 5205 $1455  1     95.9   109.9  EB: shook
e 5210 $145a  1     35.6    40.8  EB: special throw

e 5220 $1464  1     35.6    40.8  EB: Jax - gotcha

e 5500 $157c  1     16.7    19.2  Liu Kang: Attack #1
e 5505 $1581  1     23.4    26.9  Liu Kang: Attack #2
e 5510 $1586  1     33.9    38.9  Liu Kang: Flying kick attack
e 5515 $158b  1     11.7    13.4  Liu Kang: grab
e 5520 $1590  1     40.6    46.6  Liu Kang: throw
e 5525 $1595  1     80.8    92.6  Liu Kang: running attack
e 5530 $159a  1     20.1    23.0  Liu Kang: jump
e 5535 $159f  1     28.5    32.6  Liu Kang: face hit #1
e 5540 $15a4  1     19.7    22.6  Liu Kang: face hit #2
e 5545 $15a9  1     17.2    19.7  Liu Kang: body hit #1
e 5550 $15ae  1     28.0    32.2  Liu Kang: body hit #2
e 5555 $15b3  1     26.8    30.7  Liu Kang: tripped
e 5560 $15b8  1     46.0    52.8  Liu Kang: medium wasted
e 5565 $15bd  1    126.4   145.0  Liu Kang: wasted #1
e 5570 $15c2  1    105.9   121.4  Liu Kang: wasted #2
e 5575 $15c7  1    229.0   262.6  Liu Kang: death
e 5580 $15cc  1     84.1    96.5  Liu Kang: bicycle kick
e 5585 $15d1  1     18.0    20.6  Liu Kang: body hit #3

e 5595 $15db  1     93.3   107.0  Liu Kang: mega flying kick attack

  6000 $1770  1     15.9    18.2  JH: attack #1
  6005 $1775  1     20.1    23.0  JH: attack #2
  6010 $177a  1     43.1    49.4  JH: flying attack
  6015 $177f  1     18.4    21.1  JH: grab
  6020 $1784  1     41.9    48.0  JH: throw
  6025 $1789  1     71.2    81.6  JH: running attack
  6030 $178e  1     15.5    17.8  JH: jump
  6035 $1793  1     30.6    35.0  JH: face hit #1
  6040 $1798  1     27.2    31.2  JH: face hit #2
  6045 $179d  1     27.2    31.2  JH: body hit #1
  6050 $17a2  1     17.2    19.7  JH: body hit #2
  6055 $17a7  1     22.2    25.4  JH: tripped
  6060 $17ac  1     47.7    54.7  JH: medium wasted
  6065 $17b1  1     82.0    94.1  JH: wasted #1
  6070 $17b6  1     72.8    83.5  JH: wasted #2
  6075 $17bb  1    172.4   197.8  JH: death

e 6235 $185b  1     22.2    25.4  JH: special owww #4

  7000 $1b58  1     62.8    72.0  Robot Speech #1 (got wasted)
  7005 $1b5d  1     36.0    41.3  Robot Speech #2 (got medium wasted)
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 9


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  7010 $1b62  1     43.1    49.4  Robot Speech #3 (got medium wasted)
  7015 $1b67  1     54.0    61.9  Robot Speech #4 (got wasted)
  7020 $1b6c  1     61.1    70.1  Robot Speech #5 (running attack)
  7025 $1b71  1     46.9    53.8  New Robot Spark #1

  7035 $1b7b  1     42.7    49.0  New Robot Spark #3

  7055 $1b8f  1     25.1    28.8  New Robot Spark #7
  7060 $1b94  1     47.7    54.7  New Robot Spark #8
  7065 $1b99  1     23.0    26.4  New Robot Spark #9

e 9000 $2328  1     94.2   108.0  Shao Kahn: Finish Him!
e 9005 $232d  1     90.4   103.7  Shao Kahn: Finish Her!
  9010 $2332  1     79.5    91.2  Shao Kahn: Fatality!
  9015 $2337  1     90.0   103.2  Shao Kahn: Flawless Victory
e 9020 $233c  1     68.6    78.7  Shao Kahn: Fight! #1
  9025 $2341  1     84.5    97.0  Shao Kahn: Round One
  9030 $2346  1     79.1    90.7  Shao Kahn: Round Two
  9035 $234b  1     74.1    85.0  Shao Kahn: Round Three
  9040 $2350  1     71.2    81.6  Shao Kahn: Round Four

e 9060 $2364  1     60.7    69.6  Shao Kahn: Cabal
  9065 $2369  1     59.0    67.7  Shao Kahn: Jax
  9070 $236e  1     54.4    62.4  Shao Kahn: Kano

  9080 $2378  1     65.3    74.9  Shao Kahn: Liu Kang
e 9085 $237d  1     64.9    74.4  Shao Kahn: Motaro
  9090 $2382  1     74.9    85.9  Shao Kahn: Shang Tsung
  9095 $2387  1     52.3    60.0  Shao Kahn: Sheeva
e 9100 $238c  1     50.6    58.1  Shao Kahn: Smoke
  9105 $2391  1     58.2    66.7  Shao Kahn: Sonya
e 9110 $2396  1     52.7    60.5  Shao Kahn: Stryker
  9115 $239b  1     65.3    74.9  Shao Kahn: Sub-Zero
e 9120 $23a0  1     64.9    74.4  Shao Kahn: Kung Lao
  9125 $23a5  1     63.6    73.0  Shao Kahn: I win
  9130 $23aa  1     64.9    74.4  Shao Kahn: Superb
  9135 $23af  1     66.1    75.8  Shao Kahn: Well Done

  9145 $23b9  1     68.6    78.7  Shao Kahn: ... wins
  9150 $23be  1    151.5   173.8  Shao Kahn: Laugh #1
  9155 $23c3  1    126.0   144.5  Shao Kahn: Laugh #2
  9160 $23c8  1    149.4   171.4  Shao Kahn: Laugh #3
e 9165 $23cd  1     74.5    85.4  Shao Kahn: ... shows mercy

e 9175 $23d7  1     70.3    80.6  Shao Kahn: Animality
e 9180 $23dc  1     65.7    75.4  Shao Kahn: Babality
e 9185 $23e1  1     63.2    72.5  Shao Kahn: Crispy
e 9190 $23e6  1     66.6    76.3  Shao Kahn: Frosty
  9195 $23eb  1     56.9    65.3  Shao Kahn: Friendship
e 9200 $23f0  1     49.4    56.6  Shao Kahn: Friendship!?!
e 9205 $23f5  1     51.5    59.0  Shao Kahn: Again?

 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 10

e 9215 $23ff  1     66.6    76.3  Shao Kahn: Toasty Low
e 9220 $2404  1     66.1    75.8  Shao Kahn: Oh maw
e 9225 $2409  1    110.5   126.7  Shao Kahn: Cabal wins
  9230 $240e  1    112.6   129.1  Shao Kahn: Jax wins
  9235 $2413  1    116.8   133.9  Shao Kahn: Kano wins

  9245 $241d  1    123.1   141.1  Shao Kahn: Liu Kang wins
e 9250 $2422  1    118.9   136.3  Shao Kahn: Motaro wins
  9255 $2427  1    133.1   152.6  Shao Kahn: Shang Tsung wins
  9260 $242c  1    112.2   128.6  Shao Kahn: Sheeva wins
e 9265 $2431  1    118.9   136.3  Shao Kahn: Smoke wins
  9270 $2436  1    116.8   133.9  Shao Kahn: Sonya wins
e 9275 $243b  1    118.9   136.3  Shao Kahn: Stryker wins
  9280 $2440  1    123.1   141.1  Shao Kahn: Sub-Zero wins
e 9285 $2445  1    121.8   139.7  Shao Kahn: Kung Lao wins
e 9290 $244a  1    108.0   123.8  Shao Kahn: Cabal shows mercy
e 9295 $244f  1    116.4   133.4  Shao Kahn: Jax shows mercy
e 9300 $2454  1    116.4   133.4  Shao Kahn: Kano shows mercy

e 9310 $245e  1    126.8   145.4  Shao Kahn: Liu Kang shows mercy
